compound_id,base_rdkit_smiles,relation_SLC6A2,avg_pKi_SLC6A2,relation_SLC6A3,avg_pKi_SLC6A3,relation_SLC6A4,avg_pKi_SLC6A4
CHEMBL1085959,COc1ccccc1CC(c1ccccc1F)N1CCNCC1,,7.013228265733755,<,5.0,,8.0
CHEMBL1086273,COc1c(F)cccc1CC(c1ccccc1)N1CCNCC1,,7.075720713938118,,5.166852888087215,,8.698970004336019
CHEMBL1086274,COc1cccc(F)c1CC(c1ccccc1)N1CCNCC1,,7.568636235841013,,5.6252516539898965,,8.045757490560675
CHEMBL1086275,Fc1cccc(OC(F)F)c1CC(c1ccccc1)N1CCNCC1,,7.236572006437063,<,5.5003129173815966,,7.721246399047171
CHEMBL1087452,O=C1CCc2ccc(OCCN3CCN(c4cccc5[nH]c(=O)oc45)CC3)cc2N1,,,,,,6.269217724333611
CHEMBL1087453,O=C1CCc2ccc(OCCCN3CCN(c4cccc5[nH]c(=O)oc45)CC3)cc2N1,,,,,,7.031517051446065
CHEMBL1087454,O=C1CCc2ccc(OCCCCN3CCN(c4cccc5[nH]c(=O)oc45)CC3)cc2N1,,,,,,7.026872146400302
CHEMBL1087455,O=C1CCc2ccc(CC3CCN(C[C@@H]4COc5c(ccc6c5CC(=O)N6)O4)CC3)cc2N1,,,,,,8.721246399047171
CHEMBL1087585,CS(=O)(=O)Nc1cc(OCCN2CC3CCC(C2)C3Cc2ccc3c(c2)NC(=O)CC3)ccc1F,,,,,,8.301029995663981
CHEMBL1087743,CS(=O)(=O)Nc1cc(OCCN2CCC(Cc3ccc4c(c3)NC(=O)CC4)CC2)ccc1F,,,,,,7.698970004336019
CHEMBL1087744,O=C1CCc2ccc(OC3CCN(C[C@@H]4COc5c(ccc6c5CC(=O)N6)O4)CC3)cc2N1,,,,,,7.698970004336019
CHEMBL1087745,CS(=O)(=O)Nc1cccc(OCCN2CCC(Oc3ccc4c(c3)NC(=O)CC4)CC2)c1,,,,,,7.657577319177793
CHEMBL1087817,O=C1CCc2ccc(CC3C4CCC3CN(C[C@@H]3COc5c(ccc6c5CC(=O)N6)O3)C4)cc2N1,,,,,,8.823908740944319
CHEMBL1087818,CS(=O)(=O)Nc1cccc(OCCN2CC3CCC(C2)C3Cc2ccc3c(c2)NC(=O)CC3)c1,,,,,,8.769551078621726
CHEMBL1087872,CS(=O)(=O)Nc1cc(OCCN2CCC(Oc3ccc4c(c3)NC(=O)CC4)CC2)ccc1F,,,,,,7.522878745280337
CHEMBL1088000,O=C1CCc2ccc(CC3CC4CCC(C3)N4C[C@@H]3COc4c(ccc5c4CC(=O)N5)O3)cc2N1,,,,,,9.585026652029182
CHEMBL1088560,CS(=O)(=O)Nc1cccc(OCCN2CCC(Cc3ccc4c(c3)NC(=O)CC4)CC2)c1,,,,,,7.721246399047171
CHEMBL1091513,O=S(=O)(NC1CCC(c2cc(F)ccc2F)(S(=O)(=O)c2ccc(Cl)cc2)CC1)C(F)(F)F,,,,5.50174257997966,,
CHEMBL109517,CN(C)C[C@@H]1C2CCC(C2)[C@H]1c1ccc2ccccc2c1,,6.826813731587726,,7.42021640338319,,8.236572006437063
CHEMBL109571,CN(C)CC1C2CCC(C2)C1c1ccc2ccccc2c1,,6.954677021213342,,7.744727494896693,,8.55284196865778
CHEMBL11,CN(C)CCCN1c2ccccc2CCc2ccccc21,,7.795880017344075,,,,8.52340907035931
CHEMBL111128,CNC[C@H]1C2CCC(C2)[C@@H]1c1ccc2ccccc2c1,,7.00436480540245,,7.387216143280264,,8.443697499232712
CHEMBL1112,O=C1CCc2ccc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1,,,,,,6.305658283227009
CHEMBL1113,Clc1ccc2c(c1)C(N1CCNCC1)=Nc1ccccc1O2,,7.886056647693163,,,,7.744727494896693
CHEMBL1118,CN(C)CC(c1ccc(O)cc1)C1(O)CCCCC1,<,6.187086643357144,<,6.068542129310995,,7.823908740944319
CHEMBL111928,Fc1ccc(C(OC2CC3CCC(C2)N3CCCOc2ccccc2)c2ccc(F)cc2)cc1,,,,6.639993867770902,,
CHEMBL112528,O=C(NCCN1C2CCC1CC(OC(c1ccc(F)cc1)c1ccc(F)cc1)C2)c1cccnc1,,,,7.849857838151442,,
CHEMBL113136,CN(C)C[C@H]1C2CCC(CC2)[C@@H]1c1cccc(Cl)c1,,7.292429823902063,,7.1938200260161125,,7.602059991327962
CHEMBL113382,CN(C)Cc1ccccc1Sc1ccc(Cl)cc1CO,,,,,,7.259637310505756
CHEMBL114,CC(C)(C)NC(=O)[C@@H]1C[C@@H]2CCCC[C@@H]2CN1C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)[C@H](CC(N)=O)NC(=O)c1ccc2ccccc2n1,,,,4.55462935117242,,
CHEMBL114275,CN(C)Cc1ccccc1Sc1ccc(I)cc1CO,,6.6307841425898575,<,5.0,,10.018053505507046
CHEMBL114453,OC(CCc1ccccc1)CN1CCC2(CC1)OCc1c2ccc2ccccc12,,,,,,8.0
CHEMBL11493,CCCCN1C2CCC1CC(OC(c1ccc(F)cc1)c1ccc(F)cc1)C2,,5.876148359032914,,7.060538133016216,,
CHEMBL115253,O=C(NCCN1C2CCC1CC(OC(c1ccc(F)cc1)c1ccc(F)cc1)C2)c1ccccc1,,,,8.18996921359416,,
CHEMBL115710,Fc1ccc(C(OC2CC3CCC(C2)N3CCOCCN2CCOCC2)c2ccc(F)cc2)cc1,,,,6.180002266489224,,
CHEMBL115769,COc1cc(N)[nH]c2nc(-c3ccc(F)cc3)c(-c3ccncc3)c1-2,,5.974284616098659,,,,
CHEMBL1162,C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@@]21C,,,,,,5.617802789622546
CHEMBL1162965,CN(C)CC1CC1c1c[nH]c2ccc(C#N)cc12,,,,,,8.148741651280925
CHEMBL1169622,COC[C@@]12CNCC[C@]1(c1ccc(OC(F)(F)F)cc1)C2,,5.499999678657065,,5.100000128334196,,8.500038134403809
CHEMBL1169733,c1ccc(C2CNCCN2c2ccc3[nH]ncc3c2)cc1,,6.699991797446187,,6.699991797446187,,7.700057099977233
CHEMBL1169912,CCC[C@H]1CNCCN1c1ccc2[nH]ncc2c1,,7.50003813440381,,7.599980364934842,,7.50003813440381
CHEMBL1169916,COCCC1CNCCN1c1ccc2[nH]ncc2c1,,6.599997654072044,,6.799998134593398,,8.700057099977233
CHEMBL1170017,NC(=O)c1cc2cc(N3CCNCC3Cc3ccccc3)ccc2[nH]1,,6.299997602857746,,8.500038134403809,,8.100015437450608
CHEMBL1170209,COc1cc(N2CCNCC2Cc2ccccc2)cc2cc[nH]c12,,7.299988937677887,,5.800000874803203,,7.299988937677887
CHEMBL1170210,Clc1cc(N2CCNCC2Cc2ccccc2)cc2cc[nH]c12,,7.899974269892137,,7.0,,8.500038134403809
CHEMBL1170211,Fc1cc(N2CCNCC2Cc2ccccc2)cc2cc[nH]c12,,8.199970640755867,,7.79997073344623,,7.79997073344623
CHEMBL1170212,c1ccc(CC2CNCCN2c2cnc3[nH]ccc3c2)cc1,,6.599997654072044,,6.299997602857746,,7.199970640755866
CHEMBL1170213,CCOCC1CNCCN1c1ccc2[nH]ncc2c1,,6.499996931948306,,6.499996931948306,,7.79997073344623
CHEMBL1170233,COC[C@@]12CN(C)CC[C@]1(c1ccc(Cl)c(Cl)c1)C2,,6.0999990348465305,,7.50003813440381,,7.899974269892137
CHEMBL1170373,c1ccc(CCC2CNCCN2c2ccc3[nH]ncc3c2)cc1,,7.100015437450609,,7.50003813440381,,8.400007822415901
CHEMBL1170374,CCCC1CNCCN1c1ccc2[nH]ncc2c1,,7.400007822415902,,7.199970640755866,,7.79997073344623
CHEMBL1170396,c1cc2[nH]ncc2cc1N1CCNCC1CC1CCOCC1,,6.499996931948306,,7.400007822415902,,8.400007822415901
CHEMBL1170397,c1cc2[nH]ncc2cc1N1CCNC[C@@H]1CC1CCOCC1,,7.0,,7.299988937677887,,7.100015437450609
CHEMBL1170585,CNc1ccc(N2CCNCC2Cc2ccccc2)cc1,,6.299997602857746,,6.399996913372259,,7.100015437450609
CHEMBL1170793,Clc1ccc(N2CCNCC2Cc2ccccc2)cc1Cl,,7.79997073344623,,7.100015437450609,,7.79997073344623
CHEMBL1170794,Cn1ccc2cc(N3CCNCC3Cc3ccccc3)ccc21,,7.299988937677887,,6.900008766455316,,8.100015437450608
CHEMBL1170795,NC(=O)c1c[nH]c2ccc(N3CCNCC3Cc3ccccc3)cc12,<,5.300000202445418,,6.799998134593398,,7.0
CHEMBL1171007,c1cc2[nH]ncc2cc1N1CCNC[C@H]1CC1CCOCC1,,6.499996931948306,,6.0,,9.0
CHEMBL1171391,c1ccc(CC2CNCCN2c2ccc3[nH]ccc3c2)cc1,,8.100015437450608,,8.199970640755867,,7.899974269892137
CHEMBL1171392,c1ccc(CC2CNCCN2c2ccccc2)cc1,,6.399996913372259,,6.299997602857746,,7.79997073344623
CHEMBL1171424,c1cc2[nH]ncc2cc1N1CCNCC1CC1CCCCC1,,5.800000874803203,,6.499996931948306,,7.400007822415902
CHEMBL1171425,COCC1CNCCN1c1ccc2[nH]ncc2c1,,6.499996931948306,,6.299997602857746,,6.799998134593398
CHEMBL1171975,c1ccc(CC2CNCCN2c2ccc3[nH]ncc3c2)cc1,,7.599980364934842,,7.79997073344623,,8.899974269892137
CHEMBL1172,Clc1ccc2c(c1)CCc1cccnc1C2=C1CCNCC1,,5.955852379121277,,5.5111673656176,,6.913640169325252
CHEMBL1172381,COC[C@H]1[C@@H]2CNCC[C@@]21c1ccc(Cl)c(Cl)c1,,5.700000503883016,,5.899998417198648,,7.299988937677887
CHEMBL1172524,CCC[C@@H]1CNCCN1c1ccc2[nH]ncc2c1,,6.799998134593398,,6.0999990348465305,,8.199970640755867
CHEMBL1172525,CCCCC1CNCCN1c1ccc2[nH]ncc2c1,,7.100015437450609,,7.50003813440381,,8.400007822415901
CHEMBL1172526,CC(C)CC1CNCCN1c1ccc2[nH]ncc2c1,,7.700057099977233,,7.79997073344623,,8.299988937677888
CHEMBL1172744,COC[C@@]12CNCC[C@]1(c1ccc3ccccc3c1)C2,,7.766660697436013,,7.466670801431982,,9.466670801431984
CHEMBL1172760,COC[C@@]12CN(C(C)C)CC[C@]1(c1ccc(Cl)c(Cl)c1)C2,,5.300000202445418,,5.899998417198648,,6.199998172182031
CHEMBL1172850,COC[C@@]12CCNC[C@]1(c1ccc(Cl)c(Cl)c1)C2,,6.566663932482062,,6.766659193131072,,7.400003512963114
CHEMBL1172902,Clc1ccc([C@]23CCN4CC[C@]2(C4)C3)cc1Cl,,6.649984837801198,,6.850006545761326,,8.15000443392502
CHEMBL1172919,COC[C@@H]1[C@@H]2CCNC[C@]12c1ccc(Cl)c(Cl)c1,,7.199970640755866,,6.900008766455316,,7.50003813440381
CHEMBL1173085,COC[C@@]12CNC[C@H](OC)[C@]1(c1ccc(Cl)c(Cl)c1)C2,,5.899998417198648,,6.299997602857746,,7.0
CHEMBL1173086,COC[C@@]12CNC[C@@H](OC)[C@]1(c1ccc(Cl)c(Cl)c1)C2,,5.800000874803203,,6.399996913372259,,6.599997654072044
CHEMBL1173087,C=CCC(OC)[C@]12CNCC[C@]1(c1ccc(Cl)c(Cl)c1)C2,,8.70000391120795,,8.849972501669184,,9.399974269892136
CHEMBL1173341,Clc1ccc([C@]23CNCC[C@H]2C3)cc1Cl,,6.799988562907174,,7.166674419955503,,6.866673952659323
CHEMBL1173342,COC[C@@H]1[C@@H]2CNCC[C@]12c1ccc(Cl)c(Cl)c1,,6.499996931948306,,6.399996913372259,,8.0
CHEMBL1173412,COC[C@@]12CNCC[C@]1(c1ccc(Cl)cc1)C2,,6.699991797446187,,6.599997654072044,,7.79997073344623
CHEMBL1173413,COC[C@@]12CNCC[C@]1(c1ccc(F)c(Cl)c1)C2,,6.499996931948306,,6.799998134593398,,8.79997073344623
CHEMBL1173414,COC[C@@]12CNCC[C@]1(c1ccc(Cl)c(C(F)(F)F)c1)C2,,6.699991797446187,,5.499999678657065,,7.79997073344623
CHEMBL1173415,COC[C@@]12CNCC[C@]1(c1ccc(C(F)(F)F)c(Cl)c1)C2,,6.900008766455316,,5.800000874803203,,7.79997073344623
CHEMBL1173416,COC[C@@]12CN[C@@H](C)C[C@]1(c1ccc(Cl)c(Cl)c1)C2,,7.299988937677887,,7.400007822415902,,8.100015437450608
CHEMBL1173519,COC[C@@]12CNC[C@H](F)[C@]1(c1ccc(Cl)c(Cl)c1)C2,,7.0,,7.0,,8.299988937677888
CHEMBL1173520,COC[C@@]12CNC[C@@H](F)[C@]1(c1ccc(Cl)c(Cl)c1)C2,,7.299988937677887,,7.0,,8.400007822415901
CHEMBL1173530,OC[C@@]12CNCC[C@]1(c1ccc(Cl)c(Cl)c1)C2,,6.733331682655219,,6.933335744965599,,7.733360119947914
CHEMBL1173532,COC[C@@]12CNCC[C@]1(c1ccc(Cl)c(Cl)c1)C2,,8.02402322291545,,7.75334598287802,,9.075987194806997
