rdkit_smiles,compound_id,NofA,pKi_mean,pKi_std
CCCCCC(=O)c1ccc(OCCCN2CCN(C(=O)C3CCC3)CC2)cc1,CHEMBL64100,1,6.4500041484693496,0.09566846312511786
CCCCCC(=O)c1ccc(OCCCN2CCN(C(=O)CC)CC2)cc1,CHEMBL294502,1,5.720000163638921,0.18191956447112131
CCCCCC(=O)c1ccc(OCCCN2CCN(C(=O)CCC)CC2)cc1,CHEMBL64479,1,6.0600017900878385,0.09566846312511786
CCCCCC(=O)c1ccc(OCCCN2CCN(C(=O)CSCC)CC2)cc1,CHEMBL64235,1,5.9599992855266795,0.18191956447112131
CCCCCC(=O)c1ccc(OCCCN2CCN(C(=O)Cc3ccccc3)CC2)cc1,CHEMBL305338,1,7.250031916490598,0.40816916496270744
CCCCCC(=O)c1ccc(OCCCN2CCN(C(=O)N3CCCC3)CC2)cc1,CHEMBL64667,1,5.979999397807418,0.18191956447112131
CCCCCC(=O)c1ccc(OCCCN2CCN(C(=O)N3CCOCC3)CC2)cc1,CHEMBL65518,1,5.380000399499542,0.18191956447112131
CCCCCC(=O)c1ccc(OCCCN2CCN(C(=O)NC(C)C)CC2)cc1,CHEMBL64773,1,5.920001601921648,0.18191956447112131
CCCCCC(=O)c1ccc(OCCCN2CCN(C(=O)NCC)CC2)cc1,CHEMBL60620,1,5.800000874803202,0.18191956447112131
CCCCCC(=O)c1ccc(OCCCN2CCN(C(=O)OC(C)C)CC2)cc1,CHEMBL64259,1,6.509999358109048,0.09566846312511786
CCCCCC(=O)c1ccc(OCCCN2CCN(C(=O)OC)CC2)cc1,CHEMBL64408,1,5.969999718407896,0.18191956447112131
CCCCCC(=O)c1ccc(OCCCN2CCN(C(=O)OCC(C)C)CC2)cc1,CHEMBL64775,1,6.5600045260461926,0.09566846312511786
CCCCCC(=O)c1ccc(OCCCN2CCN(C(=O)OCC)CC2)cc1,CHEMBL62803,1,6.5600045260461926,0.09566846312511786
CCCCCC(=O)c1ccc(OCCCN2CCN(C(=O)OCCCC)CC2)cc1,CHEMBL64317,1,6.239999952707271,0.09566846312511786
CCCCCC(=O)c1ccc(OCCCN2CCN(C(=O)[C@@H](C)N)CC2)cc1,CHEMBL62421,1,4.449999986821809,0.4719824216245228
CCCCCC(=O)c1ccc(OCCCN2CCN(C(=O)[C@@H](C)NC(=O)OC(C)(C)C)CC2)cc1,CHEMBL63125,1,5.169999984192581,0.18191956447112131
CCCCCC(=O)c1ccc(OCCCN2CCN(C(=O)[C@@H](CC(C)C)NC(=O)OC(C)(C)C)CC2)cc1,CHEMBL59870,1,5.330000131185909,0.18191956447112131
CCCCCC(=O)c1ccc(OCCCN2CCN(C(=O)[C@@H](CO)NC(=O)OC(C)(C)C)CC2)cc1,CHEMBL60837,1,4.769999911123512,0.4719824216245228
CCCCCC(=O)c1ccc(OCCCN2CCN(C(=O)[C@@H](Cc3ccncc3)NC(=O)OC(C)(C)C)CC2)cc1,CHEMBL62903,1,4.769999911123512,0.4719824216245228
CCCCCC(=O)c1ccc(OCCCN2CCN(C(=O)[C@@H](N)C(C)C)CC2)cc1,CHEMBL62592,1,4.719999935717911,0.4719824216245228
CCCCCC(=O)c1ccc(OCCCN2CCN(C(=O)[C@@H](N)CC(C)C)CC2)cc1,CHEMBL291847,1,5.010000098195094,0.18191956447112131
