,chembl,smile,pAct,relationship
622,None_CHEMBL3238323,COc1cc(OC)c(OC)cc1/C=C/C(=O)c1ccc(C(=O)/C=C/c2cc(OC)c(OC)cc2OC)cc1,6.52,=
623,None_CHEMBL3238325,COc1cc(OC)c(/C=C/C(=O)c2ccc(C(=O)/C=C/c3c(OC)cc(OC)cc3OC)cc2)c(OC)c1,6.4,=
624,None_CHEMBL3238330,COc1cccc(OC)c1/C=C/C(=O)c1ccc(C(=O)/C=C/c2c(OC)cccc2OC)cc1,6.7,=
625,None_CHEMBL3238330,COc1cccc(OC)c1/C=C/C(=O)c1ccc(C(=O)/C=C/c2c(OC)cccc2OC)cc1,6.72,=
626,None_CHEMBL3238330,COc1cccc(OC)c1/C=C/C(=O)c1ccc(C(=O)/C=C/c2c(OC)cccc2OC)cc1,7.82,=
627,None_CHEMBL3238330,COc1cccc(OC)c1/C=C/C(=O)c1ccc(C(=O)/C=C/c2c(OC)cccc2OC)cc1,6.9,=
628,None_CHEMBL3238331,COc1ccc(/C=C/C(=O)c2ccc(C(=O)/C=C/c3ccc(OC)c(OC)c3OC)cc2)c(OC)c1OC,5.85,=
629,None_CHEMBL3238333,COc1cc(C(=O)/C=C/c2ccc(/C=C/C(=O)c3cc(OC)c(OC)c(OC)c3)cc2)cc(OC)c1OC,5.96,=
630,None_CHEMBL3238334,COc1cccc(C(=O)/C=C/c2ccc(/C=C/C(=O)c3cccc(OC)c3)cc2)c1,5.64,=
631,None_CHEMBL3238335,COc1ccc(C(=O)/C=C/c2ccc(/C=C/C(=O)c3ccc(OC)c(OC)c3)cc2)cc1OC,6.1,=
632,None_CHEMBL3238336,COc1ccc(C(=O)/C=C/c2ccc(/C=C/C(=O)c3ccc(OC)cc3OC)cc2)c(OC)c1,6.05,=
633,None_CHEMBL3238338,COc1ccc(OC)c(C(=O)/C=C/c2ccc(/C=C/C(=O)c3cc(OC)ccc3OC)cc2)c1,5.89,=
634,None_CHEMBL3238340,COc1cc(OC)cc(C(=O)/C=C/c2ccc(/C=C/C(=O)c3cc(OC)cc(OC)c3)cc2)c1,6.3,=
635,None_CHEMBL3238340,COc1cc(OC)cc(C(=O)/C=C/c2ccc(/C=C/C(=O)c3cc(OC)cc(OC)c3)cc2)c1,6.57,=
636,None_CHEMBL3238343,COc1ccccc1C(=O)/C=C/c1ccc(/C=C/C(=O)c2ccccc2OC)cc1,5.96,=
637,None_CHEMBL3238346,COc1cc(OC)c(C(=O)/C=C/c2ccc(/C=C/C(=O)c3c(OC)cc(OC)cc3OC)cc2)c(OC)c1,5.75,=
