molecule_chembl_id,smiles,standard_type,standard_relation,standard_value,standard_units,pchembl_value,molecular_weight,document_chembl_id,pIC50
CHEMBL382241,CN[C@H]1CC[C@@H](c2ccc(Cl)c(Cl)c2)c2cc([S+](C)[O-])ccc21,IC50,'=',1800.0,nM,5.75,368.33,CHEMBL1139648,5.7447274948966935
CHEMBL288826,O=C(NCCCN1CCC(Cc2ccccc2)CC1)C(c1ccccc1)c1ccccc1,IC50,'=',2210.0,nM,5.66,426.60,CHEMBL4270660,5.655607726314889
CHEMBL4073400,Fc1ccc(C(OCCN2CCC(Cc3ccccc3)CC2)c2ccc(F)cc2)cc1,IC50,'=',5860.0,nM,5.23,421.53,CHEMBL4270660,5.23210238398191
CHEMBL637,COc1ccc(C(CN(C)C)C2(O)CCCCC2)cc1,IC50,'=',2708.0,nM,5.57,277.41,CHEMBL1909046,5.567351339986893
CHEMBL549761,CCOc1ccccc1OC(c1cccnc1)C1CCNCC1,IC50,'=',13.0,nM,7.89,312.41,CHEMBL1151858,7.886056647693163
CHEMBL563987,Fc1cccc(OC(c2cccnc2)C2CCNCC2)c1F,IC50,'=',24.0,nM,7.62,304.34,CHEMBL1151858,7.619788758288394
CHEMBL556268,Cc1ccc(C(Oc2cccc(Cl)c2Cl)C2CCNCC2)nc1,IC50,'=',48.0,nM,7.32,351.28,CHEMBL1151858,7.318758762624412
CHEMBL1813315,CN1C[C@@H]2CCCC[C@]2(c2ccc(Cl)c(Cl)c2)C1,IC50,'=',141.25,nM,6.85,284.23,CHEMBL1811752,6.850011543508524
CHEMBL1813316,CCN1C[C@H]2CCCC[C@@]2(c2ccc(Cl)c(Cl)c2)C1,IC50,'=',26.92,nM,7.57,298.26,CHEMBL1811752,7.5699249444480605
CHEMBL1813470,CN1C[C@H]2CCCC[C@@]2(c2ccc3ccccc3c2)C1,IC50,'=',537.03,nM,6.27,265.40,CHEMBL1811752,6.270001452716577
CHEMBL1813472,Clc1ccc([C@@]23CCCC[C@@H]2CNC3)cc1Cl,IC50,'=',204.17,nM,6.69,270.20,CHEMBL1811752,6.69000807121882
CHEMBL1813476,c1ccc2cc([C@]34CCC[C@H]3CNC4)ccc2c1,IC50,'=',14.13,nM,7.85,237.35,CHEMBL1811752,7.849857838151442
CHEMBL512472,O=C(C1CC1)N(Cc1ccc(Cl)cc1Cl)[C@H]1CCNC1,IC50,'=',25.0,nM,7.6,313.23,CHEMBL1155868,7.6020599913279625
CHEMBL513139,CC(C)C(=O)N(Cc1ccc(Cl)cc1Cl)[C@H]1CCNC1,IC50,'=',28.0,nM,7.55,315.24,CHEMBL1155868,7.552841968657781
CHEMBL567289,c1cnc(N(Cc2ccc3ccccc3c2)C2CCNCC2)nc1,IC50,'=',1200.0,nM,5.92,318.42,CHEMBL1156048,5.920818753952375
CHEMBL565844,Cc1ccc(C(=O)C(C)NC(C)(C)C)cc1Cl,IC50,'=',900.0,nM,6.05,253.77,CHEMBL1156106,6.045757490560675
CHEMBL576622,CCCCC(NC(C)(C)C)C(=O)c1cccc(Cl)c1,IC50,'=',400.0,nM,6.4,281.83,CHEMBL1156106,6.3979400086720375
CHEMBL1085066,CNC[C@@H](O)CCN1c2ccccc2N(c2ccccc2C)S1(=O)=O,IC50,'=',64.0,nM,7.19,361.47,CHEMBL1155515,7.1938200260161125
CHEMBL1083741,CNC[C@H](C)CN1c2ccccc2N(c2ccccc2F)S1(=O)=O,IC50,'=',602.0,nM,6.22,349.43,CHEMBL1155515,6.220403508742176
CHEMBL1082611,CNC[C@@H](O)CCN1c2ccccc2N(c2ccc(F)c(F)c2)S1(=O)=O,IC50,'=',36.0,nM,7.44,383.42,CHEMBL1155515,7.443697499232712
CHEMBL1084829,CNC[C@@H](O)CCN1c2ccccc2N(c2ccc(F)cc2)S1(=O)=O,IC50,'=',51.0,nM,7.29,365.43,CHEMBL1155515,7.292429823902063
CHEMBL577283,CC(C)CN(C(=O)c1ccc2ccccc2c1)[C@@H]1CCNC1,IC50,'=',1200.0,nM,5.92,296.41,CHEMBL1156048,5.920818753952375
CHEMBL576821,Cc1c(CN([C@@H]2CCNC2)S(C)(=O)=O)ccc2cc(F)ccc12,IC50,'=',735.0,nM,6.13,336.43,CHEMBL1156048,6.133712660915805
CHEMBL150932,c1ccc(C(Oc2cccc3ccccc23)C2CCNCC2)cc1,IC50,'=',120.0,nM,6.92,317.43,CHEMBL1151858,6.920818753952375
CHEMBL4248596,COc1ccccc1N1CCN(CCCNC(=O)c2ccc(-c3ccccc3)cc2)CC1,IC50,'=',4960.0,nM,5.3,429.56,CHEMBL4229444,5.304518323509803
