molecule_chembl_id,smiles,standard_type,standard_relation,standard_value,standard_units,pchembl_value,molecular_weight,document_chembl_id,pKi
CHEMBL461706,Cl.Cl.OC1([C@@H](CN2CCNCC2)c2cccc(Cl)c2)CCCCC1,Ki,'=',340.0,nM,6.47,395.80,CHEMBL1155011,6.468521082957745
CHEMBL190937,CN(C)Cc1ccccc1Sc1ccc(CO)cc1N,Ki,'<',1000.0,nM,,288.42,CHEMBL1140286,6.0
CHEMBL3897415,CN1Cc2cc(-c3cccnn3)ccc2C(c2ccc3ccccc3c2)C1,Ki,'=',59.7,nM,7.22,351.45,CHEMBL3638841,7.224025668870631
CHEMBL3954574,CC1NOC(C)C1c1ccc2c(c1)CN(C)CC2c1ccc2ccccc2c1,Ki,'=',104.0,nM,6.98,372.51,CHEMBL3638841,6.982966660701219
CHEMBL629,CN(C)CCC=C1c2ccccc2CCc2ccccc21,Ki,'=',6203.0,nM,5.21,277.41,CHEMBL2390840,5.207398218835033
CHEMBL281594,Fc1ccc(C(OCCN2CCN(CCCc3ccccc3)CC2)c2ccc(F)cc2)cc1,Ki,'=',8.8,nM,8.06,450.57,CHEMBL4425114,8.05551732784983
CHEMBL4563018,Cl.Fc1ccccc1OCc1cc(OC[C@@H]2CCCN2)no1,Ki,'<',10000.0,nM,,328.77,CHEMBL4425114,5.0
CHEMBL3321788,OC1(c2ccc(Cl)cc2)CC2CCC(C1)N2CCCCc1ccc(F)cc1,Ki,'=',778.0,nM,6.11,387.93,CHEMBL3352364,6.1090204030103115
CHEMBL286312,C#Cc1ccc([C@@H]2CN3CCC[C@@H]3c3ccccc32)cc1,Ki,'=',1.6,nM,8.8,273.38,CHEMBL4219032,8.795880017344075
CHEMBL4227955,Clc1ccc([C@@H]2CCNC[C@@]23CCOC3)cc1Cl,Ki,'=',39.81,nM,7.4,286.20,CHEMBL4219032,7.400007822415902
CHEMBL4753189,CC(C)Oc1cc(F)cc2c(N3CCN(c4ccccc4F)CC3)c(C#N)cnc12,Ki,'<',10000.0,nM,,408.45,CHEMBL4665820,5.0
CHEMBL4217988,N#Cc1cc(S(=O)(=O)Nc2ncns2)ccc1Oc1ccc(-c2cccc(C(F)(F)F)c2)cc1-c1ccnc(CNCCC2CCNCC2)c1,Ki,'=',2120.0,nM,5.67,719.82,CHEMBL4177603,5.673664139071248
CHEMBL2326684,Cc1cc(C2CC=CCN(C)C2)ccc1Cl,Ki,'=',23.0,nM,7.64,235.76,CHEMBL2321662,7.638272163982407
CHEMBL4533718,OC[C@H]1O[C@@H](n2cnc3c(NC(C4CCC4)C4CCC4)ncnc32)[C@H](O)[C@@H]1O,Ki,'=',1780.0,nM,5.75,389.46,CHEMBL4368904,5.749579997691106
CHEMBL4540759,CC(=O)N1CCC(c2ccc(C(=O)NC3=NCCN3)cc2C(F)(F)F)CC1,Ki,,794.33,nM,,382.39,CHEMBL4507279,6.0999990348465305
