compound_id,base_rdkit_smiles,relation_kcna5,avg_pIC50_kcna5,relation_kcna3,avg_pIC50_kcna3,relation_scn5a,avg_pIC50_scn5a
CHEMBL228864,CCc1ccc(S(=O)(=O)N[C@@H]2c3cc(C(=N)NCCc4ccccc4)ccc3OC(C)(C)[C@H]2O)cc1,>,5.0,,,,
CHEMBL1290737,CC(C)(CNC(=O)CC(F)(F)F)CN(C1=NS(=O)(=O)c2cc(F)ccc21)c1ccccc1,,6.568636235841013,,6.823908740944319,,
CHEMBL2332450,CCn1ccnc1C1=C(C)Nc2cc(C(F)(F)F)nn2[C@@H]1c1ccc(Cl)c(Cl)c1,,6.892790030352131,,,,
CHEMBL147381,CC(C)CCNC(=O)c1ccccc1-c1ccccc1CNC(=O)OCc1ccccc1,,6.096910013008056,,,,
CHEMBL467040,CCc1ccc(S(=O)(=O)N[C@@H]2c3cc(NC(=O)c4ccccc4OC)ccc3CC[C@H]2O)cc1,,6.346787486224656,,,,
CHEMBL4095750,COc1cccc(-c2ncccc2CC(c2cccnc2)c2cccnc2)c1,,7.3872161432802645,,,,
CHEMBL4076764,O[C@@H](c1cccnc1-c1cccc(C(F)(F)F)c1)C(c1cccnc1)c1cccnc1,,6.5376020021010435,,,,
CHEMBL4475999,CCCN(CCC)[C@H](c1ccccn1)[C@@H](c1ccccn1)N(CCC)C[C@H](O)CO,,6.495699914119041,,,,4.721246399047171
CHEMBL2331993,CC1=C(c2ncnn2CCC(F)(F)F)[C@@H](c2ccc(Cl)c(Cl)c2)n2nccc2N1,,6.82102305270683,,,,
CHEMBL147039,Cc1cccc(CNC(=O)OCc2ccccc2)c1-c1c(C)cccc1C(=O)NCCC(C)C,,5.9430283238465815,,,,
CHEMBL521104,CC1=C(C(=O)N2CCN(c3ccc(F)cc3)CC2)C(c2cc3ccccc3o2)n2nccc2N1,,6.795880017344075,,,,
CHEMBL385933,COc1cccc(CON2C(=O)CSC2c2ccc(C)c(C)c2)c1,,6.570247719997592,,,,
CHEMBL216955,CC(CC(=O)NCC(c1ccccc1)C(C(=O)N(C(C)C)C(C)C)c1cccnc1)c1ccccc1,,7.026872146400302,,,,
CHEMBL3262820,COc1ccc(NC(=O)CN2CCN(CCOc3ccc(Cl)cc3)CC2)cc1,,5.581698708680254,,,,
CHEMBL567671,COCC1=C(c2nc3cc(F)ccc3n2C)C(c2ccc(Cl)c(Cl)c2)n2nccc2N1,,7.522878745280337,,,,
CHEMBL1290397,CC(C)(CNC(=O)C1CCCNC1)CN(C1=NS(=O)(=O)c2cc(F)ccc21)c1ccccc1,>,4.301029995663981,>,4.301029995663981,,
CHEMBL601456,CC1=C(C(=O)N2CCCC2c2ccccn2)C(c2ccc(Cl)c(Cl)c2)n2nccc2N1,,6.180456064458132,,,,
CHEMBL566382,CC1=C(c2nc3cc(Cl)ccc3n2C)C(c2ccc(Cl)c(Cl)c2)n2nccc2N1,,7.167491087293763,,,,
CHEMBL3730543,CCN1C(=O)C(C)(C)C(=O)N(C)c2cc(OCCCN(CCn3ccc4occc4c3=O)Cc3cnccc3C)ccc21,,6.337242168318426,,,,
CHEMBL2312931,O=P(NCc1cccnc1-c1cc(Cl)cc(Cl)c1)(c1ccccc1)c1ccccc1,,7.096910013008056,,,,
CHEMBL481187,CCOC(=O)C1=C(C)Nc2ccnn2C1c1cccc(Cl)c1Cl,,5.958607314841775,,,,
CHEMBL386837,COc1ccc(CON2C(=O)CSC2c2ccccc2)cc1,,6.0343280287798935,,,,
CHEMBL571916,CC1=C(c2nc3cc(S(C)(=O)=O)ccc3n2C)C(c2ccc(Cl)c(Cl)c2)n2nccc2N1,>,6.0,,,,
CHEMBL3298228,COc1cccc2nc(O)nc(NCC(C)(C)c3ccccc3)c12,,7.638272163982407,,,,
CHEMBL3127407,O=S(=O)(c1ccc(F)cc1)N(Cc1ccc(F)cc1)Cc1ccccn1,,5.698970004336019,,,,
CHEMBL4466634,CCCN(CC)[C@H](c1ccccn1)[C@@H](c1ccccn1)N(CCOC)C[C@H](C)CO,,5.0,,,,
CHEMBL3127419,N#Cc1cccc(S(=O)(=O)N(Cc2ccc(F)cc2)C[C@H]2CCC(=O)N2)c1,,5.060480747381382,,,,
CHEMBL3622361,COc1cccc2c1C(NC[C@]1(c3ccccc3)CC[C@H](NC(=O)OCC(F)(F)F)CC1)=NS2(=O)=O,,7.552841968657781,,,,
CHEMBL4449766,COc1cncc(-c2nc(NCc3ccccn3)c3c(-c4ccccc4)cccc3n2)c1,,6.920818753952375,,,,
CHEMBL3787088,CC(C)(C)NC(=O)C1c2ccccc2C(=O)N1Cc1cc(F)ccc1-c1ccccc1,,5.824875990832918,,,,
CHEMBL3729664,CCN1C(=O)C(C)(C)C(=O)N(C)c2cc(OCCCN(CCc3cccnc3)Cc3ccccc3)ccc21,,6.5376020021010435,,,,
CHEMBL385737,COC(=O)CC(c1cccc(C#N)c1)C(C(=O)N(C(C)C)C(C)C)c1cccnc1,,6.735182176990463,,,,
